city_fips,unique_city,total_sold_per_city,gross_per_city,average_price_per_city,weighted_average_price_per_city
04013,Phoenix,155779515,108577797.1,1.23,0.7
04019,Tucson,155779515,108577797.1,1.23,0.7
48201,Houston,152005650,122974722.6,1.05,0.81
48113,Dallas,160952495,134538359.6,1.09,0.84
32003,Las Vegas,36064698,36227206.93,1.38,1
06037,Los Angeles,337205346,322058996.5,1.22,0.96
39061,Cincinnati,23449872,23640648.9,1.21,1.01
39113,Dayton,23449872,23640648.9,1.21,1.01
39049,Columbus,19837116,20725410.6,1.25,1.04
21111,Louisville,9384349,10072067.68,1.29,1.07
22071,New Orleans,31263524,33097504.96,1.31,1.06
01097,Mobile,31263524,33097504.96,1.31,1.06
06073,San Diego,66024506,69117633.87,1.4,1.05
26081,Grand Rapids,20829576,25743653.03,1.51,1.24
12031,Jacksonville,18947047,21963963.92,1.51,1.16
12011,Fort Lauderdale,73703224,89333076.6,1.43,1.21
12086,Miami,73703224,89333076.6,1.43,1.21
41051,Portland,60524454,63147570.2,1.32,1.04
53033,Seattle,57999807,68005810.35,1.44,1.17
12057,Tampa,46243938,54050347.2,1.41,1.17
08031,Denver,79393012,83761082.34,1.22,1.06
06075,San Francisco,120113945,163952532.8,1.81,1.36
13121,Atlanta,59656391,62927382.7,1.34,1.05
47037,Nashville,22508275,22569107.58,1.21,1
12095,Orlando,41569978,49189673.06,1.51,1.18
53063,Spokane,9236283,10318068.68,1.45,1.12
16001,Boise,8941478,9671503.14,1.35,1.08
26163,Detroit,38846581,41755764.82,1.28,1.07
25025,Boston,75374435,97054505.12,1.53,1.29
18097,Indianapolis,18156864,20192702.32,1.31,1.11
42069,Scranton,28124613,35186016.06,1.51,1.25
42043,Harrisburg,28124613,35186016.06,1.51,1.25
06067,Sacramento,65790946,82999556.34,1.62,1.26
09003,Hartford,39063368,54297750.21,1.82,1.39
25013,Springfield,39063368,54297750.21,1.82,1.39
11001,Washington,98760876,131059446.9,1.54,1.33
24510,Baltimore,98760876,131059446.9,1.54,1.33
36081,New York City,171586561,235439344.8,1.73,1.37
42101,Philadelphia,47642542,65660206.64,1.63,1.38
17031,Chicago,116131376,155381561.5,1.56,1.34
51760,Richmond,29722622,32984658.83,1.29,1.11
51710,Norfolk,29722622,32984658.83,1.29,1.11
51770,Roanoke,15451015,16777661.15,1.25,1.09
29510,St. Louis,17336807,20682247.19,1.43,1.19
37119,Charlotte,23857605,30504447.91,1.61,1.28
37081,Greensboro,32526034,40070215.48,1.56,1.23
37183,Raleigh,32526034,40070215.48,1.56,1.23
36001,Albany,13387553,18030663.99,1.56,1.35
36067,Syracuse,6750219,9356986.51,1.52,1.39
36055,Rochester,11351722,15614535.2,1.52,1.38
36029,Buffalo,11351722,15614535.2,1.52,1.38
42003,Pittsburgh,11560881,14059680.88,1.36,1.22
